iter	Passed	Remaining
185	315	1382
186	316	1377
187	317	1373
188	318	1368
189	319	1363
190	320	1358
191	321	1354
192	322	1350
193	323	1345
194	324	1341
195	325	1336
196	326	1332
197	327	1327
198	328	1323
199	329	1318
200	330	1314
201	331	1310
202	332	1305
203	333	1301
204	334	1297
205	335	1293
206	336	1288
207	337	1285
208	338	1281
209	339	1277
210	340	1273
211	341	1269
212	342	1265
213	343	1261
214	344	1257
215	345	1254
216	346	1250
217	347	1246
218	348	1242
219	349	1239
220	350	1235
221	351	1231
222	352	1227
223	353	1223
224	354	1219
225	355	1216
226	356	1212
227	357	1209
228	358	1206
229	359	1202
230	360	1199
231	361	1196
232	362	1192
233	363	1189
234	365	1188
235	366	1185
236	367	1181
237	368	1178
238	369	1175
239	370	1173
240	372	1172
241	374	1173
242	375	1170
243	376	1167
244	377	1163
245	378	1160
246	379	1158
247	380	1154
248	381	1151
249	382	1148
250	383	1144
251	384	1141
252	385	1138
253	386	1135
254	387	1132
255	388	1129
256	389	1126
257	390	1124
258	391	1121
259	392	1118
260	393	1115
261	395	1112
262	396	1110
263	397	1107
264	398	1104
265	399	1101
266	400	1099
267	401	1096
268	402	1093
269	403	1090
270	404	1087
271	405	1084
272	406	1081
273	407	1079
274	408	1076
275	409	1073
276	410	1070
277	411	1068
278	412	1065
279	413	1063
280	414	1060
281	415	1058
282	416	1055
283	417	1053
284	418	1050
285	419	1047
286	420	1044
287	421	1042
288	422	1040
289	423	1037
290	425	1035
291	425	1032
292	427	1030
293	427	1027
294	428	1025
295	430	1022
296	431	1020
297	432	1017
298	433	1015
299	434	1012
300	435	1010
301	436	1007
302	437	1005
303	438	1003
304	439	1000
305	440	999
306	441	997
307	442	994
308	443	992
309	444	990
310	445	987
311	446	985
312	447	983
313	448	980
314	449	978
315	450	975
316	451	973
317	452	970
318	453	968
319	454	966
320	455	964
321	456	962
322	457	959
323	458	957
324	459	955
325	460	952
326	461	950
327	462	948
328	463	945
329	464	943
330	465	941
331	466	939
332	468	937
333	469	935
334	470	933
335	471	930
336	472	929
337	473	926
338	474	924
339	475	922
340	476	920
341	477	918
342	478	916
343	479	914
344	480	912
345	481	910
346	482	908
347	483	906
348	484	904
349	485	902
350	486	900
351	487	898
352	488	895
353	489	893
354	490	891
355	491	889
356	492	887
357	493	885
358	494	883
359	495	881
360	496	879
361	498	877
362	499	875
363	500	873
364	501	871
365	501	869
366	502	867
367	503	865
368	505	863
369	506	861
370	507	859
371	508	858
372	509	857
373	510	854
374	511	853
375	512	851
376	514	849
377	514	847
378	515	845
379	516	843
380	517	841
381	518	839
382	519	837
383	520	835
384	521	833
385	523	832
386	524	830
387	525	828
388	526	826
389	526	824
390	528	822
391	529	820
392	530	819
393	531	816
394	532	814
395	532	812
396	533	811
397	534	809
398	535	807
399	537	805
400	538	803
401	539	802
402	540	800
403	541	798
404	542	796
405	543	794
406	544	793
407	545	791
408	546	789
409	547	787
410	548	785
411	549	783
412	550	782
413	551	780
414	552	778
415	553	777
416	554	775
417	555	773
418	556	772
419	557	770
420	558	768
421	559	766
422	560	765
423	562	763
424	562	761
425	564	760
426	565	758
427	566	756
428	567	754
429	568	753
430	569	751
431	570	749
432	571	748
433	572	746
434	573	744
435	574	743
436	575	741
437	576	739
438	577	738
439	578	736
440	579	734
441	580	733
442	581	731
443	582	729
444	583	728
445	584	726
446	585	724
447	587	723
448	588	721
449	589	720
450	590	718
451	591	716
452	592	715
453	593	713
454	594	711
455	595	710
456	596	708
457	597	707
458	598	705
459	599	703
460	600	702
461	601	700
462	602	699
463	603	697
464	604	695
465	605	694
466	607	692
467	608	691
468	609	690
469	610	688
470	611	686
471	612	685
472	613	683
473	614	682
474	615	680
475	616	678
476	617	677
477	618	675
478	619	674
479	621	672
480	622	671
481	623	669
482	624	668
483	625	666
484	626	665
485	627	663
486	628	661
487	629	660
488	630	658
489	631	657
490	632	655
491	633	654
492	634	652
493	635	650
494	636	649
495	637	647
496	638	646
497	639	644
498	640	643
499	641	641
500	642	640
501	643	638
502	644	637
503	645	635
504	646	633
505	647	632
506	649	631
507	650	629
508	651	628
509	652	626
510	653	624
511	654	623
512	655	621
513	656	620
514	657	618
515	658	617
516	658	615
517	659	614
518	660	612
519	661	610
520	662	609
521	663	607
522	664	606
523	665	604
524	666	603
525	667	601
526	668	600
527	669	598
528	670	597
529	671	595
530	672	593
531	673	592
532	674	590
533	675	589
534	676	587
535	677	586
536	678	584
537	679	583
538	680	581
539	681	580
540	682	578
541	683	577
542	684	575
543	685	574
544	686	572
545	687	571
546	688	569
547	689	568
548	690	567
549	691	565
550	692	564
551	693	562
552	694	561
553	695	559
554	696	558
555	697	556
556	698	555
557	699	553
558	700	552
559	701	551
560	702	549
561	703	548
562	704	546
563	705	545
564	706	543
565	707	542
566	708	540
567	708	539
568	709	537
569	710	536
570	712	534
571	713	533
572	714	532
573	715	530
574	716	529
575	717	527
576	718	526
577	720	525
578	721	524
579	722	523
580	723	521
581	724	520
582	725	518
583	726	517
584	727	515
585	728	514
586	729	513
587	730	511
588	731	510
589	732	508
590	732	507
591	733	505
592	735	504
593	736	503
594	737	501
595	738	500
596	738	498
597	739	497
598	740	495
599	741	494
600	742	493
601	743	491
602	744	490
603	745	488
604	746	487
605	747	485
606	748	484
607	749	483
608	750	481
609	751	480
610	752	479
611	753	477
612	754	476
613	755	474
614	756	473
615	757	472
616	758	470
617	759	469
618	760	467
619	761	466
620	762	465
621	763	463
622	764	462
623	765	461
624	766	459
625	767	458
626	768	456
627	769	455
628	770	454
629	771	452
630	772	451
631	773	450
632	774	448
633	775	447
634	776	446
635	777	444
636	778	443
637	779	442
638	780	440
639	781	439
640	782	438
641	783	436
642	784	435
643	785	434
644	786	432
645	787	431
646	788	430
647	789	428
648	790	427
649	791	426
650	792	424
651	793	423
652	794	422
653	795	420
654	796	419
655	797	418
656	798	417
657	799	415
658	801	414
659	802	413
660	803	411
661	804	410
662	805	409
663	806	407
664	807	406
665	808	405
666	809	404
667	810	402
668	811	401
669	812	399
670	813	398
671	814	397
672	815	396
673	815	394
674	817	393
675	818	392
676	819	390
677	820	389
678	821	388
679	822	386
680	823	385
681	824	384
682	825	382
683	826	381
684	826	380
685	827	378
686	828	377
687	829	376
688	831	375
689	832	373
690	833	372
691	834	371
692	835	370
693	836	368
694	837	367
695	838	366
696	839	365
697	840	363
698	841	362
699	842	361
700	843	359
701	844	358
702	845	357
703	847	356
704	848	354
705	848	353
706	849	352
707	850	350
708	851	349
709	853	348
710	854	347
711	855	345
712	856	344
713	857	343
714	858	342
715	859	340
716	860	339
717	861	338
718	862	337
719	863	335
720	864	334
721	865	333
722	866	332
723	867	330
724	869	329
725	870	328
726	871	327
727	872	325
728	873	324
729	874	323
730	875	322
731	876	320
732	877	319
733	878	318
734	879	317
735	880	315
736	881	314
737	882	313
738	883	312
739	884	310
740	885	309
741	886	308
742	887	307
743	888	305
744	889	304
745	890	303
746	891	302
747	892	300
748	893	299
749	894	298
750	895	296
751	896	295
752	897	294
753	898	293
754	899	291
755	900	290
756	901	289
757	902	288
758	903	286
759	904	285
760	905	284
761	906	283
762	907	281
763	908	280
764	909	279
765	910	278
766	911	276
767	912	275
768	913	274
769	914	273
770	915	271
771	916	270
772	917	269
773	918	268
774	919	266
775	920	265
776	921	264
777	922	263
778	923	262
779	924	260
780	926	259
781	927	258
782	928	257
783	929	256
784	931	254
785	932	253
786	933	252
787	934	251
788	935	250
789	936	248
790	937	247
791	938	246
792	939	245
793	940	244
794	941	242
795	942	241
796	943	240
797	944	239
798	945	237
799	946	236
800	947	235
801	948	234
802	949	232
803	950	231
804	951	230
805	952	229
806	953	228
807	954	226
808	955	225
809	957	224
810	958	223
811	959	222
812	960	220
813	961	219
814	962	218
815	963	217
816	964	215
817	965	214
818	966	213
819	967	212
820	968	211
821	969	209
822	970	208
823	971	207
824	972	206
825	973	205
826	974	203
827	975	202
828	976	201
829	977	200
830	978	198
831	979	197
832	980	196
833	981	195
834	982	194
835	983	192
836	984	191
837	985	190
838	986	189
839	987	188
840	988	186
841	989	185
842	990	184
843	991	183
844	992	182
845	993	180
846	994	179
847	995	178
848	996	177
849	997	176
850	998	174
851	999	173
852	1000	172
853	1001	171
854	1002	170
855	1003	168
856	1004	167
857	1005	166
858	1006	165
859	1007	164
860	1008	162
861	1009	161
862	1010	160
863	1011	159
864	1012	158
865	1013	156
866	1014	155
867	1015	154
868	1016	153
869	1017	152
870	1018	150
871	1019	149
872	1021	148
873	1022	147
874	1023	146
875	1024	144
876	1025	143
877	1026	142
878	1027	141
879	1028	140
880	1029	139
881	1030	137
882	1031	136
883	1032	135
884	1033	134
885	1034	133
886	1035	131
887	1036	130
888	1037	129
889	1038	128
890	1039	127
891	1040	125
892	1041	124
893	1042	123
894	1043	122
895	1044	121
896	1045	120
897	1046	118
898	1047	117
899	1049	116
900	1050	115
901	1050	114
902	1051	112
903	1052	111
904	1053	110
905	1054	109
906	1055	108
907	1056	107
908	1057	105
909	1059	104
910	1060	103
911	1061	102
912	1062	101
913	1063	100
914	1064	98
915	1065	97
916	1065	96
917	1066	95
918	1067	94
919	1069	92
920	1069	91
921	1070	90
922	1071	89
923	1072	88
924	1074	87
925	1075	85
926	1076	84
927	1077	83
928	1078	82
929	1079	81
930	1080	80
931	1081	78
932	1082	77
933	1083	76
934	1084	75
935	1085	74
936	1086	73
937	1087	71
938	1088	70
939	1088	69
940	1090	68
941	1091	67
942	1092	66
943	1092	64
944	1093	63
945	1095	62
946	1096	61
947	1097	60
948	1098	59
949	1099	57
950	1100	56
951	1101	55
952	1101	54
953	1102	53
954	1103	52
955	1104	50
956	1105	49
957	1106	48
958	1107	47
959	1108	46
960	1110	45
961	1111	43
962	1112	42
963	1113	41
964	1114	40
965	1115	39
966	1116	38
967	1117	36
968	1118	35
969	1119	34
970	1120	33
971	1121	32
972	1122	31
973	1123	29
974	1124	28
975	1125	27
976	1126	26
977	1127	25
978	1128	24
979	1129	23
980	1130	21
981	1131	20
982	1132	19
983	1133	18
984	1134	17
985	1135	16
986	1136	14
987	1137	13
988	1138	12
989	1139	11
990	1140	10
991	1141	9
992	1142	8
993	1143	6
994	1144	5
995	1145	4
996	1146	3
997	1147	2
998	1148	1
999	1149	0
